name,score,time

Tony,12,"November 23, 2022"
Timmy,12,"November 23, 2022"
Boaty McBoatface,123,"November 23, 2022"
Hugo,23,"November 23, 2022"
Horatio,17,"November 23, 2022"
Secrethackerz,17,"November 23, 2022"

Igor,14,"November 23, 2022"
Wario,13,"November 23, 2022"

Hegel,10,"November 23, 2022"

Joe Biden,9,"November 23, 2022"

Hannah Montana,18,"November 18, 2022"

Joey,6,"November 17, 2022"

Pope Paul II,16,"November 23, 2022"

Tina,21,"November 23, 2022"
Megatron,14,"November 23, 2022"
Eevee,9,"November 23, 2022"
Pikachu,9,"November 23, 2022"
Thomas,20,"November 23, 2022"
Wanda,2,"November 23, 2022"
Flavian,11,"November 23, 2022"
Timmeh,10,"November 23, 2022"
